Rang;Name;Punkte;m100;weit;kugel;hoch;m400;hurd;disc;stab;speer;m1500
1;Damian Warner;9018;10.12;8.24;14.8;2.02;47.48;13.46;48.67;4.9;63.44;271.08
2;Kevin Mayer;8726;10.68;7.5;15.07;2.08;50.31;13.9;48.08;5.2;73.09;283.17
3;Ashley Moloney;8649;10.34;7.64;14.49;2.11;46.29;14.08;44.38;5;57.12;279.19
4;Garret Scantling;8611;10.67;7.3;15.59;1.99;48.25;14.03;45.46;5.1;69.1;275.54
5;Pierce Lepage;8604;10.43;7.65;15.31;1.99;46.92;14.39;47.14;5;57.24;271.85
6;Zach Ziemek;8435;10.55;7.2;14.99;2.05;49.06;14.51;44.87;5.3;60.44;278.38
7;Lindon Victor;8414;10.67;7.24;15.39;2.02;49.21;14.83;49.75;4.9;71.56;294.32
8;Ilya Shkurenyov;8413;10.93;7.59;14.95;1.99;48.98;14.43;47.02;5.1;60.95;274.62
9;Jorge Urena;8322;10.66;7.3;13.97;2.05;48;14.13;43.7;4.9;55.82;267.82
10;Steven Bastien;8236;10.69;7.39;14.4;2.05;47.64;14.42;40.77;4.6;58.21;266.95
11;Johannes Erm;8213;11.04;7.36;14.6;1.99;48.25;14.55;45.72;4.8;58.41;268.42
12;Pawe? Wiesiolek;8176;10.83;7.27;14.9;2.02;48.24;14.95;48.27;4.8;51.6;270.02
13;Vitaliy Zhuk;8131;11.04;6.93;16.23;1.96;49.22;14.95;47.01;5.1;59.49;282.57
14;Kai Kazmirek;8126;11.09;7.48;14.46;2.02;48.17;14.73;42.7;4.8;63.76;288.3
15;Maicel Uibo;8037;11.32;7.37;13.95;2.02;50.82;14.83;46.38;5.5;50.64;278.64
16;Adam Helcelet;8004;11.06;7.16;14.99;1.96;49.41;14.35;45.4;4.6;61.54;284.74
17;Jiri Sykora;7943;11.18;7.03;14.63;1.9;48.89;14.48;49.9;4.6;63.73;294.97
18;Felipe dos Santos;7880;10.58;7.38;14.13;2.02;49.31;14.58;39.91;4.6;54.56;292.4
19;Martin Roe;7863;10.86;7.03;13.98;1.96;50.93;15.47;48.37;4.8;62.28;287.58
